State,Terminal Locations,E10,ULP,95 Premium,98 Premium,Diesel,Date
NSW,Silverwater,157.82,155.46,165.55,N/A,166.33,2026-02-12
NSW,Botany,157.82,155.46,165.55,171.91,166.33,2026-02-12
NSW,Newcastle,157.32,156.86,166.39,N/A,165.74,2026-02-12
VIC,Melbourne,159.20,158.00,167.92,175.30,166.72,2026-02-12
SA,Birkenhead,N/A,157.77,166.50,173.50,166.36,2026-02-12
QLD,Whinstanes,158.26,156.13,165.07,173.92,165.19,2026-02-12
QLD,Gladstone,N/A,156.95,165.43,N/A,164.53,2026-02-12
QLD,Mackay,158.44,157.45,164.62,N/A,164.80,2026-02-12
QLD,Townsville,N/A,157.14,N/A,172.70,164.62,2026-02-12
QLD,Cairns,155.80,156.44,167.45,N/A,164.73,2026-02-12
WA,Perth,N/A,154.66,160.90,166.79,164.55,2026-02-12
NT,Darwin,N/A,158.82,167.86,N/A,169.22,2026-02-12
