State,Terminal Locations,E10,ULP,95 Premium,98 Premium,Diesel,Date
NSW,Botany,160.07,157.38,168.82,174.90,161.00,2026-01-01
NSW,Newcastle,159.57,158.77,169.65,N/A,160.40,2026-01-01
NSW,Silverwater,160.07,157.38,168.82,N/A,161.00,2026-01-01
NT,Darwin,N/A,160.95,171.34,N/A,164.18,2026-01-01
QLD,Cairns,157.69,158.44,170.81,N/A,159.37,2026-01-01
QLD,Gladstone,N/A,158.95,168.78,N/A,159.17,2026-01-01
QLD,Mackay,160.26,159.47,167.97,N/A,159.45,2026-01-01
QLD,Townsville,N/A,159.14,N/A,176.39,159.26,2026-01-01
QLD,Whinstanes,160.14,158.15,168.42,177.61,159.84,2026-01-01
SA,Birkenhead,N/A,159.76,169.73,177.13,160.95,2026-01-01
VIC,Melbourne,161.51,160.00,171.20,178.97,161.37,2026-01-01
WA,Perth,N/A,156.72,164.29,170.48,159.21,2026-01-01
NSW,Botany,159.92,157.21,168.69,174.76,160.97,2026-01-03
NSW,Newcastle,159.42,158.61,169.52,N/A,160.38,2026-01-03
NSW,Silverwater,159.92,157.21,168.69,N/A,160.97,2026-01-03
NT,Darwin,N/A,160.81,171.22,N/A,164.18,2026-01-03
QLD,Cairns,157.54,158.28,170.68,N/A,159.36,2026-01-03
QLD,Gladstone,N/A,158.79,168.66,N/A,159.16,2026-01-03
QLD,Mackay,160.12,159.29,167.85,N/A,159.43,2026-01-03
QLD,Townsville,N/A,158.97,N/A,176.24,159.25,2026-01-03
QLD,Whinstanes,160.00,157.97,168.30,177.46,159.83,2026-01-03
SA,Birkenhead,N/A,159.60,169.61,177.00,160.94,2026-01-03
VIC,Melbourne,161.37,159.83,171.07,178.83,161.36,2026-01-03
WA,Perth,N/A,156.56,164.18,170.36,159.21,2026-01-03
NSW,Botany,159.53,156.78,168.23,174.30,160.85,2026-01-06
NSW,Newcastle,159.03,158.18,169.07,N/A,160.26,2026-01-06
NSW,Silverwater,159.53,156.78,168.23,N/A,160.85,2026-01-06
NT,Darwin,N/A,160.38,170.76,N/A,164.04,2026-01-06
QLD,Cairns,157.15,157.84,170.23,N/A,159.24,2026-01-06
QLD,Gladstone,N/A,158.36,168.20,N/A,159.04,2026-01-06
QLD,Mackay,159.72,158.86,167.40,N/A,159.31,2026-01-06
QLD,Townsville,N/A,158.54,N/A,175.79,159.13,2026-01-06
QLD,Whinstanes,159.59,157.54,167.84,177.00,159.71,2026-01-06
SA,Birkenhead,N/A,159.17,169.17,176.54,160.83,2026-01-06
VIC,Melbourne,160.99,159.40,170.62,178.37,161.24,2026-01-06
WA,Perth,N/A,156.13,163.74,169.91,159.10,2026-01-06
NSW,Botany,158.99,156.18,167.62,173.68,160.47,2026-01-07
NSW,Newcastle,158.48,157.56,168.45,N/A,159.87,2026-01-07
NSW,Silverwater,158.99,156.18,167.62,N/A,160.47,2026-01-07
NT,Darwin,N/A,159.76,170.13,N/A,163.63,2026-01-07
QLD,Cairns,156.60,157.23,169.60,N/A,158.84,2026-01-07
QLD,Gladstone,N/A,157.74,167.57,N/A,158.64,2026-01-07
QLD,Mackay,159.17,158.25,166.77,N/A,158.92,2026-01-07
QLD,Townsville,N/A,157.93,N/A,175.15,158.73,2026-01-07
QLD,Whinstanes,159.05,156.93,167.22,176.36,159.31,2026-01-07
SA,Birkenhead,N/A,158.55,168.55,175.90,160.44,2026-01-07
VIC,Melbourne,160.44,158.79,170.01,177.74,160.84,2026-01-07
WA,Perth,N/A,155.53,163.10,169.27,158.71,2026-01-07
NSW,Botany,158.44,155.82,167.15,173.20,160.17,2026-01-08
NSW,Newcastle,157.94,157.21,167.98,N/A,159.58,2026-01-08
NSW,Silverwater,158.44,155.82,167.15,N/A,160.17,2026-01-08
NT,Darwin,N/A,159.38,169.64,N/A,163.31,2026-01-08
QLD,Cairns,156.24,156.87,169.13,N/A,158.54,2026-01-08
QLD,Gladstone,N/A,157.38,167.10,N/A,158.35,2026-01-08
